,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
57,KEC,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2,1,1,5,8,16
58,KEC,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,0,14
59,KEC,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,3,1,1,5,2,16
60,KEC,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4,2,3,4,0,16
61,KEC,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5,5,5,5,0,16
62,KEC,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3,1,1,1,0,10
63,KEC,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3.0,4.0,4,2,4,4,0,13
64,KEC,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4,2,4,2,0,12
65,KEC,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3,1,2,1,2,16
66,KEC,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3,5,5,3,0,12
67,KEC,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,3,1,2,5,0,10
68,KEC,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,3,1,3,4,0,11
69,KEC,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2,2,3,3,6,15
70,KEC,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,2,1,1,5,2,11
71,KEC,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3,1,1,3,0,10
72,KEC,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4,2,4,5,2,11
73,KEC,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2,2,2,5,0,14
74,KEC,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,3,2,4,5,4,11
75,KEC,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3,2,3,5,0,11
76,KEC,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3,1,1,1,0,11
77,KEC,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5.0,2.0,3,1,3,3,1,13
78,KEC,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1,1,1,3,0,10
79,KEC,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3,1,2,3,14,11
80,KEC,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3.0,2.0,2,1,3,3,0,12
81,KEC,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5.0,3.0,2,1,2,5,2,9
82,KEC,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4,1,1,5,4,11
83,KEC,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3,1,3,4,2,13
84,KEC,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2,2,3,4,2,12
85,KEC,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4.0,4.0,4,2,3,5,4,12
86,KEC,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4,1,2,2,6,11
87,KEC,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,3,1,4,15
88,KEC,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4.0,4.0,2,1,1,3,6,11
89,KEC,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3,3,5,5,6,10
90,KEC,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,3,1,3,4,2,11
91,KEC,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,5,1,3,1,6,13
92,KEC,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3,2,3,2,0,12
93,KEC,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,1,1,2,14
94,KEC,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4,1,1,4,2,12
95,KEC,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2,1,1,1,4,13
96,KEC,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3.0,3.0,3,1,1,4,6,11
97,KEC,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4.0,3.0,5,1,1,5,0,12
98,KEC,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5.0,3.0,4,1,2,1,4,13
99,KEC,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5.0,3.0,5,1,1,3,2,13
100,KEC,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4.0,5.0,5,5,5,4,12,8
101,KEC,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,3,1,1,4,0,16
102,KEC,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5.0,3.0,3,1,1,5,2,12
103,KEC,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,5,1,1,2,16,10
104,KEC,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,1,1,1,0,16
105,KEC,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4.0,3.0,3,1,1,4,10,10
106,KEC,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5.0,1.0,2,1,1,3,4,10
107,KEC,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,1,5,4,14
108,KEC,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1.0,3.0,5,3,5,1,8,11
109,KEC,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5.0,4.0,5,1,1,4,2,14
110,KEC,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3,1,1,4,4,14
111,KEC,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2,1,1,2,4,11
112,KEC,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2,1,1,5,12,10
113,KEC,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,5.0,2,1,1,3,10,18
114,KEC,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2,1,1,5,4,10
115,KEC,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,1,2,5,6,14
116,KEC,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4.0,4.0,3,1,1,2,4,16
117,KEC,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5.0,4.0,2,1,1,5,6,15
118,KEC,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,4,1,4,5,14,11
119,KEC,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4.0,3,1,2,4,2,14
120,KEC,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3.0,2.0,3,1,2,1,0,14
121,KEC,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,4,1,2,5,6,13
122,KEC,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,2.0,2,1,2,5,2,13
123,KEC,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4,1,4,5,4,13
124,KEC,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5.0,4.0,4,1,1,5,0,11
125,KEC,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5.0,5.0,5,3,2,5,2,9
126,KEC,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2,1,1,1,0,11
127,KEC,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3.0,4.0,2,1,1,5,0,11
128,KEC,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,5.0,5,2,5,4,8,15
129,KEC,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3.0,2.0,3,2,2,1,4,13
130,KEC,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2,2,2,5,0,12
131,KEC,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5.0,4.0,5,1,3,5,10,8
132,KEC,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3.0,2.0,2,1,2,5,8,11
133,KEC,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,3,1,2,4,6,13
134,KEC,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3.0,4.0,4,1,3,5,2,12
135,KEC,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2.0,1,1,4,5,12,14
136,KEC,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3.0,2.0,1,1,1,2,4,11
137,KEC,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5.0,3.0,4,1,1,5,12,11
138,KEC,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3.0,3,1,1,5,2,11
139,KEC,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3,1,1,5,4,15
140,KEC,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5.0,4.0,5,2,4,5,2,10
141,KEC,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5.0,1.0,3,1,1,3,0,13
142,KEC,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3.0,3.0,4,4,5,4,2,12
143,KEC,F,18,U,GT3,A,3,2,other,services,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,3,5,1,5,10,11
144,KEC,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3.0,3.0,3,1,2,1,8,11
145,KEC,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,2,1,1,5,4,10
146,KEC,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4.0,4.0,4,1,3,5,0,10
147,KEC,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3.0,2,1,1,5,6,14
148,KEC,F,15,R,GT3,T,1,1,other,other,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5.0,5.0,5,1,1,1,2,9
149,KEC,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2.0,2.0,2,1,1,3,6,11
150,KEC,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0,no,no,no,no,no,yes,no,yes,1.0,3.0,2,2,3,1,24,9
151,KEC,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1,3,5,0,13
152,KEC,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,2.0,3.0,3,2,2,2,4,11
153,KEC,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4.0,2.0,2,1,1,5,2,13
154,KEC,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4.0,4,3,3,1,4,11
155,KEC,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,5,1,2,5,22,6
156,KEC,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,2,1,2,5,0,12
157,KEC,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4.0,4.0,2,1,1,5,0,10
158,KEC,F,15,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3.0,3.0,2,1,1,3,2,11
159,KEC,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4.0,3.0,2,1,1,5,6,13
160,KEC,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,2.0,3.0,4,2,4,1,6,11
161,KEC,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3.0,3.0,2,2,1,5,16,8
162,KEC,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4.0,5.0,5,2,5,5,0,11
163,KEC,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,2.0,3.0,5,2,5,4,0,0
164,KEC,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4.0,4.0,4,3,5,5,6,10
165,KEC,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,2.0,1,2,3,3,2,13
166,KEC,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,4.0,5.0,4,1,1,4,6,11
167,KEC,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4.0,2.0,1,1,1,4,0,13
168,KEC,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4.0,4.0,4,1,1,1,0,8
169,KEC,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,2.0,2.0,2,3,3,5,14,10
170,KEC,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5.0,2.0,5,1,5,4,6,11
171,KEC,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4.0,2.0,2,1,2,3,4,11
172,KEC,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,5,4,4,5,0,1
173,KEC,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,2,no,no,no,no,no,yes,yes,no,4.0,4.0,5,3,5,5,0,10
174,KEC,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,3.0,3.0,2,2,2,5,8,9
